	HUMAN	ANTI_P	ANTI_H	ANTI_F	ANTI_B
Tupiocoris	0	0	0	0	0
Anopheles	0	0	0	0	0
Cramptonomyia	0	0	0	0	0
Synchroa	0	0	0	0	0
Lesteva	0	0	0	0	0
Meringis	0	0	0	0	0
InvOle	0	0	0	0	0
Protoneura	0	0	0	0	0
Ascaloptynx	0	0	0	0	0
Meloe	0	0	0	0	0
Anorus	0	0	0	0	0
Trichoptera	0	0	0	0	0
Alipes	0	0	0	0	0
Mecistocephalus	0	0	0	0	0
Pselliodes	0	0	0	0	0
Doratogonus	0	0	0	0	0
Cherokia	0	0	0	0	0
Geukensia	0	0	0	0	0
Acusta	0	0	0	0	0
Alinda	0	0	0	0	0
Arion	0	0	0	0	0
Limicolaria	0	0	0	0	0
Laevicaulis	0	0	0	0	0
Umbraculum	0	0	0	0	0
